Entity;Life expectancy at birth (historical)
Dominican Republic;72.7
Dominican Republic;72.9
Dominican Republic;73.0
Dominican Republic;73.0
Dominican Republic;73.1
Dominican Republic;73.2
East Timor;59.4
East Timor;60.1
East Timor;60.9
East Timor;61.6
East Timor;62.3
East Timor;63.1
East Timor;63.7
East Timor;64.3
East Timor;64.9
East Timor;65.3
East Timor;65.7
East Timor;66.1
East Timor;66.4
East Timor;66.8
East Timor;67.1
East Timor;67.4
East Timor;67.7
East Timor;68.0
Ecuador;73.2
Ecuador;73.6
Ecuador;74.0
Ecuador;74.3
Ecuador;74.5
Ecuador;74.7
Ecuador;74.8
Ecuador;75.0
Ecuador;75.2
Ecuador;75.4
Ecuador;75.7
Ecuador;76.1
Ecuador;76.4
Ecuador;76.6
Ecuador;76.8
Ecuador;76.8
Ecuador;77.0
Ecuador;77.1
Egypt;68.3
Egypt;68.6
Egypt;68.4
Egypt;68.6
Egypt;68.8
Egypt;69.0
Egypt;69.1
Egypt;69.3
Egypt;69.5
Egypt;69.7
Egypt;69.9
Egypt;70.1
Egypt;70.1
Egypt;70.4
Egypt;70.5
Egypt;70.8
Egypt;71.3
Egypt;71.4
El Salvador;69.6
El Salvador;70.2
El Salvador;70.1
El Salvador;70.3
El Salvador;70.4
El Salvador;70.8
El Salvador;71.1
El Salvador;71.4
El Salvador;71.6
El Salvador;71.8
El Salvador;71.9
El Salvador;71.8
El Salvador;71.8
El Salvador;71.7
El Salvador;71.8
El Salvador;72.0
El Salvador;72.3
El Salvador;72.6
Estonia;71.4
Estonia;71.9
Estonia;72.2
Estonia;72.6
Estonia;73.2
Estonia;73.5
Estonia;73.6
Estonia;74.4
Estonia;75.2
Estonia;75.7
Estonia;76.5
Estonia;76.5
Estonia;77.1
Estonia;77.1
Estonia;77.7
Estonia;77.8
Estonia;78.0
Estonia;78.1
Eswatini;46.0
Eswatini;44.5
Eswatini;43.3
Eswatini;42.5
Eswatini;42.1
Eswatini;43.1
Eswatini;43.6
Eswatini;44.2
Eswatini;44.6
Eswatini;46.6
Eswatini;48.2
Eswatini;49.8
Eswatini;51.5
Eswatini;53.0
Eswatini;55.0
Eswatini;56.7
Eswatini;57.9
Eswatini;59.4
Ethiopia;51.0
Ethiopia;51.5
Ethiopia;52.5
Ethiopia;53.2
Ethiopia;54.0
Ethiopia;55.1
Ethiopia;56.4
Ethiopia;57.6
Ethiopia;58.8
Ethiopia;59.7
Ethiopia;60.7
Ethiopia;61.5
Ethiopia;62.4
Ethiopia;62.9
Ethiopia;63.6
Ethiopia;64.4
Ethiopia;64.8
Ethiopia;65.4
Fiji;66.3
Fiji;65.7
Fiji;66.2
Fiji;66.4
Fiji;66.6
Fiji;66.9
Fiji;66.8
Fiji;66.9
Fiji;67.1
Fiji;67.3
Fiji;67.5
Fiji;67.6
Fiji;67.4
Fiji;67.4
Fiji;66.8
Fiji;67.2
Fiji;67.8
Fiji;67.8
Finland;78.1
Finland;78.3
Finland;78.5
Finland;78.8
Finland;79.0
Finland;79.4
Finland;79.4
Finland;79.7
Finland;79.8
Finland;80.0
Finland;80.4
Finland;80.5
Finland;80.9
Finland;81.0
Finland;81.4
Finland;81.3
Finland;81.5
Finland;81.6
France;79.2
France;79.4
France;79.4
France;80.3
France;80.3
France;80.7
France;81.0
France;81.0
France;81.2
France;81.4
France;81.8
France;81.8
France;82.0
France;82.5
France;82.2
France;82.4
France;82.5
France;82.6
French Polynesia;79.7
French Polynesia;79.7
French Polynesia;79.7
French Polynesia;79.7
French Polynesia;79.7
French Polynesia;79.8
French Polynesia;80.0
French Polynesia;80.3
French Polynesia;80.7
French Polynesia;81.0
French Polynesia;81.4
French Polynesia;81.8
French Polynesia;82.0
French Polynesia;82.2
French Polynesia;82.4
French Polynesia;82.5
French Polynesia;82.6
French Polynesia;82.8
Gabon;61.3
Gabon;61.3
Gabon;61.7
Gabon;61.8
Gabon;62.0
Gabon;62.4
Gabon;62.6
Gabon;63.1
Gabon;63.3
Gabon;63.9
Gabon;64.0
Gabon;64.6
Gabon;64.8
Gabon;65.0
Gabon;65.5
Gabon;65.8
Gabon;66.2
Gabon;66.3
Gambia;57.0
Gambia;57.1
Gambia;57.6
Gambia;58.1
Gambia;58.4
Gambia;59.1
Gambia;59.4
Gambia;60.1
Gambia;60.4
Gambia;60.7
Gambia;61.5
Gambia;62.1
Gambia;62.1
Gambia;62.3
Gambia;62.5
Gambia;63.0
Gambia;63.0
Gambia;63.0
Georgia;69.6
Georgia;70.0
Georgia;70.3
Georgia;70.6
Georgia;71.1
Georgia;71.4
Georgia;71.6
Georgia;71.3
Georgia;71.9
Georgia;72.1
Georgia;72.4
Georgia;72.4
Georgia;72.6
Georgia;73.1
Georgia;73.3
Georgia;73.6
