Entity;Aquaculture production (metric tons)
Egypt;1097544.0
Egypt;1137091.0
Egypt;1174831.0
Egypt;1370660.0
Egypt;1451841.0
Egypt;1561457.0
El Salvador;395.0
El Salvador;781.0
El Salvador;1131.0
El Salvador;2219.0
El Salvador;2203.0
El Salvador;3078.0
El Salvador;3734.0
El Salvador;3817.0
El Salvador;4355.7099609375
El Salvador;4499.93017578125
El Salvador;4883.7001953125
El Salvador;5322.0
El Salvador;3278.0
El Salvador;1663.0
El Salvador;6742.7099609375
El Salvador;7955.68017578125
El Salvador;8300.0
El Salvador;8600.0
Estonia;467.0
Estonia;257.0
Estonia;372.0
Estonia;252.0
Estonia;555.0
Estonia;703.0
Estonia;772.0
Estonia;813.0
Estonia;653.5999755859375
Estonia;573.0399780273438
Estonia;388.3399963378906
Estonia;581.3980102539062
Estonia;733.2139892578125
Estonia;870.4749755859375
Estonia;798.7000122070312
Estonia;867.7330322265625
Estonia;870.4609985351562
Estonia;943.6610107421876
Eswatini;72.0
Eswatini;73.0
Eswatini;209.0
Eswatini;100.0
Eswatini;100.0
Eswatini;100.0
Eswatini;100.0
Eswatini;100.0
Eswatini;100.0
Eswatini;100.0
Eswatini;100.0
Ethiopia;15.0
Ethiopia;15.0
Ethiopia;15.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;25.0
Ethiopia;38.0
Ethiopia;45.29999923706055
Ethiopia;85.5
Ethiopia;90.5
Ethiopia;95.0
Ethiopia;126.0
Ethiopia;165.0
Fiji;4927.0
Fiji;1206.0
Fiji;394.0
Fiji;561.5
Fiji;561.5
Fiji;1618.0
Fiji;830.0
Fiji;888.0
Fiji;670.0260009765625
Fiji;767.5
Fiji;646.0
Fiji;727.0
Fiji;637.0
Fiji;744.0
Fiji;744.0
Fiji;754.0
Fiji;780.0
Fiji;795.0
Finland;15739.0
Finland;15132.0
Finland;12558.0
Finland;12821.0
Finland;14355.0
Finland;12891.0
Finland;13025.0
Finland;13439.0
Finland;13627.0
Finland;11772.0
Finland;11275.0
Finland;12659.0
Finland;13613.0
Finland;13465.0
Finland;14877.0
Finland;14412.169921875
Finland;14586.900390625
Finland;14163.7001953125
France;251655.0
France;251758.0
France;239601.0
France;242167.0
France;244925.0
France;237375.0
France;237451.0
France;238248.59375
France;234002.0
France;203409.0
France;194118.703125
France;205556.0
France;200605.09375
France;180799.796875
France;163741.59375
France;165950.0
France;178650.0
France;185650.0
French Polynesia;932.6239624023438
French Polynesia;1343.841064453125
French Polynesia;2013.0579833984373
French Polynesia;1900.802978515625
French Polynesia;2961.828125
French Polynesia;2483.10107421875
French Polynesia;2255.19189453125
French Polynesia;1945.68505859375
French Polynesia;1905.364013671875
French Polynesia;2184.43798828125
French Polynesia;2918.9208984375
French Polynesia;2654.557861328125
French Polynesia;2697.675048828125
French Polynesia;2086.55810546875
French Polynesia;1914.696044921875
French Polynesia;1342.989990234375
French Polynesia;1354.5999755859375
French Polynesia;1355.0
Gabon;102.0
Gabon;83.0
Gabon;80.0
Gabon;80.0
Gabon;78.0
Gabon;126.0
Gabon;124.0
Gabon;124.0
Gabon;126.0
Gabon;130.0
Gabon;130.0
Gabon;48.0
Gabon;46.0
Gabon;45.0
Gabon;45.0
Gabon;45.0
Gabon;45.0
Gabon;45.0
Gambia;5.0
Gambia;5.0
Gambia;5.0
Gambia;5.0
Gambia;5.0
Gambia;75.0
Gambia;25.0
Gambia;25.0
Gambia;25.0
Gambia;25.0
Gambia;33.0
Gambia;33.0
Gambia;33.0
Gambia;35.0
Gambia;35.0
Gambia;35.0
Gambia;35.0
